        #psi         z0.         z1.        z10.       z100.      z1000.     z10000.        z-1.       z-10.      z-100.     z-1000.    z-10000.
   78.30E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   81.68E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   85.22E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   88.90E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   92.75E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
   96.76E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  100.94E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  105.31E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  109.86E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  114.61E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  119.57E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  124.74E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  130.13E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
  135.76E-06    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00    5.24E+00
