        #psi         h0.         h1.        h10.       h100.      h1000.     h10000.        h-1.       h-10.      h-100.     h-1000.    h-10000.
  267.26E-06    3.26E+00   46.90E+03  399.98E+03  108.61E+03    1.23E+03   12.33E+00  -46.90E+03 -399.98E+03 -108.61E+03   -1.23E+03  -12.33E+00
  278.82E-06    3.26E+00   43.10E+03  372.11E+03  112.10E+03    1.28E+03   12.86E+00  -43.10E+03 -372.11E+03 -112.10E+03   -1.28E+03  -12.86E+00
  290.88E-06    3.26E+00   39.61E+03  345.86E+03  115.60E+03    1.34E+03   13.42E+00  -39.60E+03 -345.85E+03 -115.60E+03   -1.34E+03  -13.42E+00
  303.46E-06    3.26E+00   36.40E+03  321.19E+03  119.10E+03    1.40E+03   14.00E+00  -36.39E+03 -321.19E+03 -119.10E+03   -1.40E+03  -14.00E+00
  316.58E-06    3.26E+00   33.45E+03  298.04E+03  122.58E+03    1.46E+03   14.61E+00  -33.44E+03 -298.04E+03 -122.58E+03   -1.46E+03  -14.61E+00
  330.27E-06    3.26E+00   30.73E+03  276.35E+03  126.04E+03    1.52E+03   15.24E+00  -30.73E+03 -276.35E+03 -126.04E+03   -1.52E+03  -15.24E+00
  344.55E-06    3.26E+00   28.24E+03  256.07E+03  129.44E+03    1.59E+03   15.90E+00  -28.24E+03 -256.06E+03 -129.44E+03   -1.59E+03  -15.90E+00
  359.45E-06    3.26E+00   25.95E+03  237.12E+03  132.78E+03    1.65E+03   16.58E+00  -25.95E+03 -237.12E+03 -132.78E+03   -1.65E+03  -16.58E+00
  375.00E-06    3.26E+00   23.85E+03  219.44E+03  136.03E+03    1.73E+03   17.30E+00  -23.84E+03 -219.44E+03 -136.03E+03   -1.73E+03  -17.30E+00
  391.21E-06    3.26E+00   21.91E+03  202.97E+03  139.18E+03    1.80E+03   18.05E+00  -21.91E+03 -202.96E+03 -139.18E+03   -1.80E+03  -18.05E+00
  408.13E-06    3.26E+00   20.14E+03  187.64E+03  142.19E+03    1.88E+03   18.83E+00  -20.13E+03 -187.63E+03 -142.19E+03   -1.88E+03  -18.83E+00
  425.78E-06    3.26E+00   18.50E+03  173.38E+03  145.04E+03    1.96E+03   19.64E+00  -18.50E+03 -173.38E+03 -145.04E+03   -1.96E+03  -19.64E+00
  444.19E-06    3.26E+00   17.00E+03  160.14E+03  147.71E+03    2.04E+03   20.49E+00  -16.99E+03 -160.13E+03 -147.71E+03   -2.04E+03  -20.49E+00
  463.40E-06    3.26E+00   15.62E+03  147.84E+03  150.18E+03    2.13E+03   21.38E+00  -15.62E+03 -147.84E+03 -150.18E+03   -2.13E+03  -21.38E+00
  483.44E-06    3.26E+00   14.35E+03  136.45E+03  152.41E+03    2.22E+03   22.30E+00  -14.35E+03 -136.44E+03 -152.42E+03   -2.22E+03  -22.30E+00
  504.35E-06    3.26E+00   13.19E+03  125.88E+03  154.40E+03    2.32E+03   23.27E+00  -13.18E+03 -125.87E+03 -154.40E+03   -2.32E+03  -23.27E+00
  526.16E-06    3.26E+00   12.12E+03  116.10E+03  156.10E+03    2.42E+03   24.27E+00  -12.11E+03 -116.09E+03 -156.10E+03   -2.42E+03  -24.27E+00
  548.91E-06    3.26E+00   11.14E+03  107.04E+03  157.49E+03    2.52E+03   25.32E+00  -11.13E+03 -107.04E+03 -157.50E+03   -2.52E+03  -25.32E+00
  572.65E-06    3.26E+00   10.23E+03   98.67E+03  158.57E+03    2.63E+03   26.42E+00  -10.23E+03  -98.66E+03 -158.57E+03   -2.63E+03  -26.42E+00
  597.41E-06    3.26E+00    9.40E+03   90.92E+03  159.29E+03    2.74E+03   27.56E+00   -9.40E+03  -90.92E+03 -159.30E+03   -2.74E+03  -27.56E+00
